Name,Address,Date,Location,Organizer,Event type,Day,DateTime,Responded
Leuven Kritiek IV,"Naamsestraat 96, 3000 Leuven",do 1 sep 2022 20:00 - wo 12 okt 2022,Leuven,Stuk,Other,1-sep,20:00,
Lustwarande : BRIEF ENCOUNTERS '22 #2,"Naamsestraat 96, 3000 Leuven",zo 4 sep 2022 14:00,Park De Oude Warande,Stuk,Other,4-sep,14:00,
OPEN CALL Showcase Emerging Sound 2023,"Naamsestraat 96, 3000 Leuven",wo 7 sep 2022 20:00 - za 15 okt 2022,STUK,Stuk,Other,7-sep,20:00,200.0
"Studio STUK • Dans, Beeld & Geluid in de iconische Manhattan","Naamsestraat 96, 3000 Leuven",ma 26 sep 2022 20:00 - za 12 nov 2022 23:00,Manhattan,Stuk,Other,26-sep,20:00,1000.0
Charles Atlas - Life’s a beach • Studio STUK,"Naamsestraat 96, 3000 Leuven",ma 26 sep 2022 20:00 - zo 2 okt 2022 23:00,Manhattan,Stuk,Other,26-sep,20:00,1000.0
APHASIA • Studio STUK,"Naamsestraat 96, 3000 Leuven",ma 26 sep 2022 20:30,Manhattan,Stuk,Other,26-sep,20:30,1000.0
Tien Om Te Zien • Studio STUK opening night,"Naamsestraat 96, 3000 Leuven",do 29 sep 2022 19:30,Manhattan,Stuk,Other,29-sep,19:30,1000.0
followfollow,"Naamsestraat 96, 3000 Leuven",vr 30 sep 2022 20:00,30CC/Schouwburg,Stuk,Other,30-sep,20:00,500.0
M I M I curates • Studio STUK & Het Depot,"Naamsestraat 96, 3000 Leuven",za 1 okt 2022 19:30,Manhattan,Stuk,Other,1-okt,19:30,1000.0
Jazz Op Zondag: schntzl • Studio STUK,"Naamsestraat 96, 3000 Leuven",zo 2 okt 2022 19:30,Manhattan,Stuk,Other,2-okt,19:30,1000.0
Luke Fowler - Patrick • Studio STUK,"Naamsestraat 96, 3000 Leuven",di 4 okt 2022 20:00 - zo 9 okt 2022 23:00,Manhattan,Stuk,Other,4-okt,20:00,1000.0
El cantar del playo or… a song is a rose is a thorn • Studio STUK,"Naamsestraat 96, 3000 Leuven",di 4 okt 2022 20:30,Manhattan,Stuk,Other,4-okt,20:30,1000.0
Joshua Serafin - Miss / Promis3 / Burenhinder • Studio STUK,"Naamsestraat 96, 3000 Leuven",do 6 okt 2022 19:30,Manhattan,Stuk,Other,6-okt,19:30,1000.0
Alabaster DePlume / Abel Ghekiere • Studio STUK & 30CC,"Naamsestraat 96, 3000 Leuven",vr 7 okt 2022 19:30,Manhattan,Stuk,Other,7-okt,19:30,1000.0
KERMIS IN DE HEL | Adventurous hiphop festival • Studio STUK & Not So Difficult,"Naamsestraat 96, 3000 Leuven",za 8 okt 2022 19:30 - zo 9 okt 2022 2:00,Manhattan,Stuk,Other,8-okt,19:30,1000.0
Jazz Op Zondag: Gustaf Ljunggren & Emil de Waal • Studio STUK,"Naamsestraat 96, 3000 Leuven",zo 9 okt 2022 19:30,Manhattan,Stuk,Other,9-okt,19:30,1000.0
Alex Reynolds & Alma Söderberg - La mano que canta • Studio STUK,"Naamsestraat 96, 3000 Leuven",wo 12 okt 2022 20:00 - zo 16 okt 2022 23:00,Manhattan,Stuk,Other,12-okt,20:00,1000.0
Medusa is Laughing • Studio STUK,"Naamsestraat 96, 3000 Leuven",wo 12 okt 2022 20:30,Manhattan,Stuk,Other,12-okt,20:30,1000.0
Loverman curates • Studio STUK & Het Depot,"Naamsestraat 96, 3000 Leuven",do 13 okt 2022 19:30,Manhattan,Stuk,Other,13-okt,19:30,1000.0
Trill - Uncut ‘Let me pixy your brain’ • Studio STUK,"Naamsestraat 96, 3000 Leuven",vr 14 okt 2022 19:30,Manhattan,Stuk,Other,14-okt,19:30,1000.0
DansBaAR vol. VII • Studio STUK,"Naamsestraat 96, 3000 Leuven",za 15 okt 2022 15:00,Manhattan,Stuk,Other,15-okt,15:00,1000.0
Jazz Op Zondag: LUCA Jazz • Studio STUK,"Naamsestraat 96, 3000 Leuven",zo 16 okt 2022 19:30,Manhattan,Stuk,Other,16-okt,19:30,1000.0
Chaïm Een ode aan adem,"Naamsestraat 96, 3000 Leuven",ma 17 okt 2022 20:00,30CC/Minnepoort,Stuk,Other,17-okt,20:00,300.0
Beatrice Gibson - Deux Soeurs (Qui Ne Sont Pas Soeurs) • Studio STUK,"Naamsestraat 96, 3000 Leuven",di 18 okt 2022 20:00 - zo 23 okt 2022 23:00,Manhattan,Stuk,Other,18-okt,20:00,1000.0
The Mirror Stand • Studio STUK,"Naamsestraat 96, 3000 Leuven",di 18 okt 2022 20:30,Manhattan,Stuk,Other,18-okt,20:30,1000.0
Voetvolk - Into The Open / Brik Tu-Tok • Studio STUK,"Naamsestraat 96, 3000 Leuven",do 20 okt 2022 20:30,Manhattan,Stuk,Other,20-okt,20:30,1000.0
Oliver Coates / Coby Sey / Jente Waerzeggers & Mathieu Serruys / Veduta • Studio STUK,"Naamsestraat 96, 3000 Leuven",vr 21 okt 2022 19:30,Manhattan,Stuk,Other,21-okt,19:30,1000.0
Jazz Op Zondag: Karen Willems - Terre Sol Four • Studio STUK,"Naamsestraat 96, 3000 Leuven",zo 23 okt 2022 19:30,Manhattan,Stuk,Other,23-okt,19:30,1000.0
Mathieu Kleyebe Abonnenc - Limbé • Studio STUK,"Naamsestraat 96, 3000 Leuven",di 25 okt 2022 20:00 - zo 30 okt 2022 23:00,Manhattan,Stuk,Other,25-okt,20:00,1000.0
TH LNG GDBY • Studio STUK,"Naamsestraat 96, 3000 Leuven",di 25 okt 2022 20:30,Manhattan,Stuk,Other,25-okt,20:30,1000.0
UUR KULTUUR in Manhattan: Lander & Adriaan / Tuur Marinus & more • Studio STUK,"Naamsestraat 96, 3000 Leuven",wo 26 okt 2022 19:30,Manhattan,Stuk,Other,26-okt,19:30,1000.0
RE-ST (BE) i.p.v. Baubüro in situ / Zirkular,"Naamsestraat 96, 3000 Leuven",wo 26 okt 2022 20:00,Hal 5,Stuk,Other,26-okt,20:00,
