,Event_name,Address,Date,Time,Duration,Event_type,Organizer,Going,Interested,Respondents,Weight_Event_Type,Weight_Respondent_type,Long,Lat,Dist_filosofia,Dist_xior,Dist_calvariekapel,Dist_hears,Dist_81,Dist_maxim,Dist_taste,Dist_vrijthof
0,Onthaalweekend 2022,"Dekenstraat 2, Leuven",13-09-2022,00:00:00,24,Other,Ekonomika,45,89,134,1,,4.7076960506010215,50.8743851,0.8416749708294701,0.8129032027249351,0.8516607340816549,0.807554872399926,0.8412839216649969,0.8327500781334497,0.8439953378584818,0.8978572502774299
1,Onthaalweekend 2022,"Dekenstraat 2, Leuven",14-09-2022,00:00:00,24,Other,Ekonomika,45,89,134,1,,4.7076960506010215,50.8743851,0.8416749708294701,0.8129032027249351,0.8516607340816549,0.807554872399926,0.8412839216649969,0.8327500781334497,0.8439953378584818,0.8978572502774299
2,Onthaalweekend 2022,"Dekenstraat 2, Leuven",15-09-2022,00:00:00,14,Other,Ekonomika,45,89,134,1,,4.7076960506010215,50.8743851,0.8416749708294701,0.8129032027249351,0.8516607340816549,0.807554872399926,0.8412839216649969,0.8327500781334497,0.8439953378584818,0.8978572502774299
3,wapens neer voor en pintje meer,"Tiensestraat 53, Leuven",10-11-2022,00:00:00,1.5,Party_Student,HDR,na,na,112,3,,4.704891955112226,50.87734785000001,0.6370420565608357,0.4663660218329136,0.6222516230621401,0.5347593052977366,0.6560472883610544,0.4636850730359103,0.5448509041984653,0.4753612182016076
4,i want to beer free TD,"Tiensestraat 53, Leuven",26-04-2022,00:00:00,5,Party_Student,HDR,34,58,92,3,,4.704891955112226,50.87734785000001,0.6370420565608357,0.4663660218329136,0.6222516230621401,0.5347593052977366,0.6560472883610544,0.4636850730359103,0.5448509041984653,0.4753612182016076
5,1 Jaar heropening,"Zeelstraat 1, Leuven",09-05-2022,00:00:00,24,Party,t Archief,48,53,101,2,,4.7002216,50.8782126,0.44769922692564273,0.17601477908375626,0.4036147990005209,0.3124662914998865,0.4839612708786557,0.12739736462223022,0.2636250238768044,0.08025709997275406
6,1 Jaar heropening,"Zeelstraat 1, Leuven",10-05-2022,00:00:00,24,Party,t Archief,48,53,101,2,,4.7002216,50.8782126,0.44769922692564273,0.17601477908375626,0.4036147990005209,0.3124662914998865,0.4839612708786557,0.12739736462223022,0.2636250238768044,0.08025709997275406
7,1 Jaar heropening,"Zeelstraat 1, Leuven",11-05-2022,00:00:00,24,Party,t Archief,48,53,101,2,,4.7002216,50.8782126,0.44769922692564273,0.17601477908375626,0.4036147990005209,0.3124662914998865,0.4839612708786557,0.12739736462223022,0.2636250238768044,0.08025709997275406
8,1 Jaar heropening,"Zeelstraat 1, Leuven",12-05-2022,00:00:00,6,Party,t Archief,48,53,101,2,,4.7002216,50.8782126,0.44769922692564273,0.17601477908375626,0.4036147990005209,0.3124662914998865,0.4839612708786557,0.12739736462223022,0.2636250238768044,0.08025709997275406
9,Room 808: Hip-Hop/ Rap,"Tiensestraat 51, Leuven",11-11-2022,01:00:00,4,Party_Student,Recup,23,92,115,3,,4.7047442,50.877233,0.6163866560592236,0.44838962919144315,0.6017611067337603,0.5146973733796716,0.6353365447077602,0.44697835134184216,0.525431376447171,0.46399533495748074
10,Kerstmis,"Monseigneur Ladeuzeplein 21, 3000 Leuven",07-12-2023,12:00:00,12,Other,City of Leuven,na,na,na,1,,4.7073196316871515,50.87799745,0.9049898269256494,0.7432892895048914,0.8940522136836953,0.8106047566626003,0.9206838018276495,0.7374652567556383,0.8225784640366814,0.7248878627199943
11,Kerstmis,"Monseigneur Ladeuzeplein 21, 3000 Leuven",08-12-2023,13:00:00,12,Other,City of Leuven,na,na,na,1,,4.7073196316871515,50.87799745,0.9049898269256494,0.7432892895048914,0.8940522136836953,0.8106047566626003,0.9206838018276495,0.7374652567556383,0.8225784640366814,0.7248878627199943
12,Kerstmis,"Monseigneur Ladeuzeplein 21, 3000 Leuven",09-12-2023,14:00:00,12,Other,City of Leuven,na,na,na,1,,4.7073196316871515,50.87799745,0.9049898269256494,0.7432892895048914,0.8940522136836953,0.8106047566626003,0.9206838018276495,0.7374652567556383,0.8225784640366814,0.7248878627199943
13,Kermis,"Monseigneur Ladeuzeplein 21, 3000 Leuven",02-09-2023,15:00:00,9,Kermis,City of Leuven,na,na,na,5,,4.7073196316871515,50.87799745,0.9049898269256494,0.7432892895048914,0.8940522136836953,0.8106047566626003,0.9206838018276495,0.7374652567556383,0.8225784640366814,0.7248878627199943
14,Kerstmis,"Monseigneur Ladeuzeplein 21, 3000 Leuven",20-12-2023,15:00:00,12,Other,City of Leuven,na,na,na,1,,4.7073196316871515,50.87799745,0.9049898269256494,0.7432892895048914,0.8940522136836953,0.8106047566626003,0.9206838018276495,0.7374652567556383,0.8225784640366814,0.7248878627199943
15,‘t ARCHIEF PRESENTS: END OF SUMMER - HAWAIIAN PARTY,"Zeelstraat 1, Leuven",03-09-2022,16:00:00,12,Party,t Archief,30,115,145,2,,4.7002216,50.8782126,0.44769922692564273,0.17601477908375626,0.4036147990005209,0.3124662914998865,0.4839612708786557,0.12739736462223022,0.2636250238768044,0.08025709997275406
16,Kermis,"Monseigneur Ladeuzeplein 21, 3000 Leuven",03-09-2023,16:00:00,9,Kermis,City of Leuven,na,na,na,5,,4.7073196316871515,50.87799745,0.9049898269256494,0.7432892895048914,0.8940522136836953,0.8106047566626003,0.9206838018276495,0.7374652567556383,0.8225784640366814,0.7248878627199943
17,Kerstmis,"Monseigneur Ladeuzeplein 21, 3000 Leuven",11-12-2023,16:00:00,12,Other,City of Leuven,na,na,na,1,,4.7073196316871515,50.87799745,0.9049898269256494,0.7432892895048914,0.8940522136836953,0.8106047566626003,0.9206838018276495,0.7374652567556383,0.8225784640366814,0.7248878627199943
18,Kermis,"Monseigneur Ladeuzeplein 21, 3000 Leuven",04-09-2023,17:00:00,9,Kermis,City of Leuven,na,na,na,5,,4.7073196316871515,50.87799745,0.9049898269256494,0.7432892895048914,0.8940522136836953,0.8106047566626003,0.9206838018276495,0.7374652567556383,0.8225784640366814,0.7248878627199943
19,Kerstmis,"Monseigneur Ladeuzeplein 21, 3000 Leuven",12-12-2023,17:00:00,12,Other,City of Leuven,na,na,na,1,,4.7073196316871515,50.87799745,0.9049898269256494,0.7432892895048914,0.8940522136836953,0.8106047566626003,0.9206838018276495,0.7374652567556383,0.8225784640366814,0.7248878627199943
20,Go Global Fair,"Naamsestraat 22, 3000 Leuven",24-10-2022,17:00:00,3,Other,Ekonomika,72,123,195,1,,4.700390920338765,50.8779204,0.4163886351177759,0.13954778347241095,0.3729837816722987,0.27900270480859163,0.45246662689621553,0.09018876160439143,0.23212158280100895,0.09287145350212925
21,3de Plaats Cantus,"Steengroevenlaan 3, Leuven",18-10-2022,17:30:00,na,Cantus,Ekonomika,238,514,752,4,,4.685170081380257,50.8676953,1.7996477299436673,1.9894673893626047,1.808855432932405,1.8954816154399743,1.7874295891938816,2.0137186037013555,1.89200622426712,2.1128977337787016
