,Unnamed: 0,result_timestamp,lamax,laeq,lceq,lcpeak,night_scale,night_hour,Date,Event_name,Address,Event_type,Weight_Event_Type,Organizer,Respondents,Distance,DATEUTC,LC_HUMIDITY,LC_DWPTEMP,LC_WINDSPEED,weekday,Holiday,downseason,night_hour_sq,night_hour_cu,Weight_respondent,Event_Score_x,Total_Event_Score
0,0,2022-01-01 00:00:00,55.469166666666666,51.90883333333333,57.74349166666667,73.3834,2021-12-31 16:00:00,5.0,31-12-2021,,,,,,,,2022-01-01 00:00:00,90.74468085106383,11.546063829787231,0.1111702127659574,Friday,0,1,25.0,125.0,,0.0,0.0
1,1,2022-01-01 00:20:00,54.654250000000005,51.37916666666667,56.381075,70.52286666666667,2021-12-31 16:20:00,5.333333333333332,31-12-2021,,,,,,,,2022-01-01 00:20:00,90.44973544973546,11.495555555555557,0.1612698412698412,Friday,0,1,28.444444444444432,151.7037037037036,,0.0,0.0
2,2,2022-01-01 00:40:00,49.5695,46.67491666666667,53.40698333333333,66.82111666666667,2021-12-31 16:40:00,5.666666666666668,31-12-2021,,,,,,,,2022-01-01 00:40:00,90.1,11.486263157894737,0.1671578947368421,Friday,0,1,32.11111111111112,181.96296296296308,,0.0,0.0
3,3,2022-01-01 01:00:00,52.13041666666667,49.36891666666666,55.413941666666666,68.62359166666667,2021-12-31 17:00:00,6.0,31-12-2021,,,,,,,,2022-01-01 01:00:00,89.84574468085107,11.454308510638295,0.2132978723404255,Friday,0,1,36.0,216.0,,0.0,0.0
4,4,2022-01-01 01:20:00,60.17458333333333,57.02533333333333,60.57854999999999,74.06790833333334,2021-12-31 17:20:00,6.333333333333332,31-12-2021,,,,,,,,2022-01-01 01:20:00,89.3455497382199,11.346858638743456,0.2557591623036649,Friday,0,1,40.11111111111109,254.0370370370369,,0.0,0.0
5,5,2022-01-01 01:40:00,48.49391666666666,45.34216666666666,52.240033333333336,65.67275833333333,2021-12-31 17:40:00,6.666666666666668,31-12-2021,,,,,,,,2022-01-01 01:40:00,89.32631578947368,11.251894736842106,0.2185263157894737,Friday,0,1,44.44444444444446,296.2962962962965,,0.0,0.0
6,6,2022-01-01 02:00:00,52.13666666666666,49.21208333333333,55.265075,68.64114166666667,2021-12-31 18:00:00,7.0,31-12-2021,,,,,,,,2022-01-01 02:00:00,89.31052631578947,11.12184210526316,0.2016315789473684,Friday,0,1,49.0,343.0,,0.0,0.0
7,7,2022-01-01 02:20:00,49.56741666666667,46.41933333333333,52.95004166666667,66.81516666666667,2021-12-31 18:20:00,7.333333333333332,31-12-2021,,,,,,,,2022-01-01 02:20:00,89.1842105263158,11.117157894736843,0.2421052631578947,Friday,0,1,53.77777777777776,394.37037037037015,,0.0,0.0
8,8,2022-01-01 02:40:00,51.530166666666666,48.29166666666666,54.617450000000005,68.48858333333334,2021-12-31 18:40:00,7.666666666666668,31-12-2021,,,,,,,,2022-01-01 02:40:00,89.43915343915344,11.158201058201058,0.2283597883597883,Friday,0,1,58.77777777777779,450.62962962962985,,0.0,0.0
9,9,2022-01-01 03:00:00,48.50808333333333,45.595666666666666,52.605250000000005,65.97931666666666,2021-12-31 19:00:00,8.0,31-12-2021,,,,,,,,2022-01-01 03:00:00,89.51052631578948,11.101157894736842,0.188,Friday,0,1,64.0,512.0,,0.0,0.0
