,Unnamed: 0,result_timestamp,lamax,laeq,lceq,lcpeak,night_scale,night_hour,Date,Event_name,Address,Event_type,Weight_Event_Type,Organizer,Respondents,Distance,DATEUTC,LC_HUMIDITY,LC_DWPTEMP,LC_WINDSPEED,weekday,Holiday,downseason,night_hour_sq,night_hour_cu,Weight_respondent,Event_Score_x,Total_Event_Score
0,0,2022-01-01 00:00:00,65.68626144879266,61.76203164029975,65.97338884263114,80.86931723563697,2021-12-31 16:00:00,5.0,31-12-2021,,,,,,,,2022-01-01 00:00:00,90.74468085106383,11.546063829787231,0.1111702127659574,Friday,0,1,25.0,125.0,,0.0,0.0
1,1,2022-01-01 00:20:00,59.77581317764804,56.6883236030025,62.29886572143453,75.31496246872393,2021-12-31 16:20:00,5.333333333333332,31-12-2021,,,,,,,,2022-01-01 00:20:00,90.44973544973546,11.495555555555557,0.1612698412698412,Friday,0,1,28.444444444444432,151.7037037037036,,0.0,0.0
2,2,2022-01-01 00:40:00,55.50058333333333,52.925916666666666,61.03863333333334,73.59903333333332,2021-12-31 16:40:00,5.666666666666668,31-12-2021,,,,,,,,2022-01-01 00:40:00,90.1,11.486263157894737,0.1671578947368421,Friday,0,1,32.11111111111112,181.96296296296308,,0.0,0.0
3,3,2022-01-01 01:00:00,55.23383333333334,52.77891666666667,60.75834166666666,73.18733333333334,2021-12-31 17:00:00,6.0,31-12-2021,,,,,,,,2022-01-01 01:00:00,89.84574468085107,11.454308510638295,0.2132978723404255,Friday,0,1,36.0,216.0,,0.0,0.0
4,4,2022-01-01 01:20:00,53.25445462114904,51.183513738551206,58.17018318068276,70.6277518734388,2021-12-31 17:20:00,6.333333333333332,31-12-2021,,,,,,,,2022-01-01 01:20:00,89.3455497382199,11.346858638743456,0.2557591623036649,Friday,0,1,40.11111111111109,254.0370370370369,,0.0,0.0
5,5,2022-01-01 01:40:00,50.610258548790654,48.596830692243536,57.01687239366138,69.23635529608006,2021-12-31 17:40:00,6.666666666666668,31-12-2021,,,,,,,,2022-01-01 01:40:00,89.32631578947368,11.251894736842106,0.2185263157894737,Friday,0,1,44.44444444444446,296.2962962962965,,0.0,0.0
6,6,2022-01-01 02:00:00,52.68291666666666,50.500166666666665,58.61784166666667,70.85875,2021-12-31 18:00:00,7.0,31-12-2021,,,,,,,,2022-01-01 02:00:00,89.31052631578947,11.12184210526316,0.2016315789473684,Friday,0,1,49.0,343.0,,0.0,0.0
7,7,2022-01-01 02:20:00,51.43525,49.39191666666667,57.593116666666674,69.93606666666666,2021-12-31 18:20:00,7.333333333333332,31-12-2021,,,,,,,,2022-01-01 02:20:00,89.1842105263158,11.117157894736843,0.2421052631578947,Friday,0,1,53.77777777777776,394.37037037037015,,0.0,0.0
8,8,2022-01-01 02:40:00,52.40274771024146,50.25745212323064,58.63664446294754,71.12642797668609,2021-12-31 18:40:00,7.666666666666668,31-12-2021,,,,,,,,2022-01-01 02:40:00,89.43915343915344,11.158201058201058,0.2283597883597883,Friday,0,1,58.77777777777779,450.62962962962985,,0.0,0.0
9,9,2022-01-01 03:00:00,51.2673894912427,49.361551292743954,58.59923269391159,70.51173477898249,2021-12-31 19:00:00,8.0,31-12-2021,,,,,,,,2022-01-01 03:00:00,89.51052631578948,11.101157894736842,0.188,Friday,0,1,64.0,512.0,,0.0,0.0
10,10,2022-01-01 03:20:00,50.97716666666667,49.18516666666667,57.89879166666667,69.71599166666667,2021-12-31 19:20:00,8.333333333333332,31-12-2021,,,,,,,,2022-01-01 03:20:00,89.31052631578947,10.986473684210525,0.1774736842105263,Friday,0,1,69.44444444444443,578.7037037037035,,0.0,0.0
11,11,2022-01-01 03:40:00,50.21975,48.348333333333336,56.88388333333334,68.86771666666667,2021-12-31 19:40:00,8.666666666666668,31-12-2021,,,,,,,,2022-01-01 03:40:00,89.37894736842105,10.868631578947369,0.1848947368421052,Friday,0,1,75.11111111111113,650.9629629629633,,0.0,0.0
12,12,2022-01-01 04:00:00,49.468583333333335,47.60491666666667,56.24175,68.39065833333333,2021-12-31 20:00:00,9.0,31-12-2021,,,,,,,,2022-01-01 04:00:00,89.13684210526316,10.73578947368421,0.2322105263157894,Friday,0,1,81.0,729.0,,0.0,0.0
13,13,2022-01-01 04:20:00,48.714666666666666,46.9085,55.75020833333333,67.85573333333333,2021-12-31 20:20:00,9.333333333333332,31-12-2021,,,,,,,,2022-01-01 04:20:00,89.01052631578948,10.648473684210526,0.2791578947368421,Friday,0,1,87.11111111111109,813.0370370370367,,0.0,0.0
14,14,2022-01-01 04:40:00,49.22123230641132,47.34421315570359,55.91180682764363,67.96432972522898,2021-12-31 20:40:00,9.666666666666668,31-12-2021,,,,,,,,2022-01-01 04:40:00,89.5978835978836,10.524074074074074,0.2240740740740741,Friday,0,1,93.44444444444447,903.2962962962966,,0.0,0.0
