,Unnamed: 0,result_timestamp,lamax,laeq,lceq,lcpeak,night_scale,night_hour,Date,Event_name,Address,Event_type,Weight_Event_Type,Organizer,Respondents,Distance,DATEUTC,LC_HUMIDITY,LC_DWPTEMP,LC_WINDSPEED,weekday,Holiday,downseason,night_hour_sq,night_hour_cu,Weight_respondent,Event_Score_x,Total_Event_Score
0,0,2022-03-30 19:00:00,45.713,44.46225,55.706741666666666,67.06954166666667,2022-03-30 11:00:00,0.0,30-03-2022,Spring cantus,"Tiensestraat 51, Leuven",Cantus,4.0,Politica,316.0,0.4541039407690632,2022-03-30 19:00:00,78.93085106382979,5.507553191489362,0.007127659574468,Wednesday,0,0,0.0,0.0,3,26.425668052289947,32.73665827431444
2,2,2022-03-30 19:20:00,44.33016666666666,43.18525,53.978366666666666,65.392725,2022-03-30 11:20:00,0.3333333333333339,30-03-2022,Spring cantus,"Tiensestraat 51, Leuven",Cantus,4.0,Politica,316.0,0.4541039407690632,2022-03-30 19:20:00,81.06914893617021,5.727925531914893,0.0111702127659574,Wednesday,0,0,0.11111111111111151,0.037037037037037236,3,26.425668052289947,32.73665827431444
4,4,2022-03-30 19:40:00,44.10775,43.0875,53.95870833333333,65.36671666666666,2022-03-30 11:40:00,0.6666666666666661,30-03-2022,Spring cantus,"Tiensestraat 51, Leuven",Cantus,4.0,Politica,316.0,0.4541039407690632,2022-03-30 19:40:00,82.77659574468085,5.799148936170213,0.0069680851063829,Wednesday,0,0,0.44444444444444364,0.2962962962962955,3,26.425668052289947,32.73665827431444
6,6,2022-03-30 20:00:00,44.90108333333333,43.84491666666667,55.076675,66.37784166666667,2022-03-30 12:00:00,1.0,30-03-2022,Spring cantus,"Tiensestraat 51, Leuven",Cantus,4.0,Politica,316.0,0.4541039407690632,2022-03-30 20:00:00,83.20967741935483,5.616935483870968,0.0161827956989247,Wednesday,0,0,1.0,1.0,3,26.425668052289947,32.73665827431444
8,8,2022-03-30 20:20:00,47.6065,46.06633333333333,56.94065,68.41656666666667,2022-03-30 12:20:00,1.333333333333334,30-03-2022,Spring cantus,"Tiensestraat 51, Leuven",Cantus,4.0,Politica,316.0,0.4541039407690632,2022-03-30 20:20:00,83.31182795698925,5.489623655913979,0.0092473118279569,Wednesday,0,0,1.7777777777777795,2.3703703703703733,3,26.425668052289947,32.73665827431444
10,10,2022-03-30 20:40:00,44.44508333333333,43.38883333333333,55.003258333333335,66.44455833333333,2022-03-30 12:40:00,1.666666666666666,30-03-2022,Spring cantus,"Tiensestraat 51, Leuven",Cantus,4.0,Politica,316.0,0.4541039407690632,2022-03-30 20:40:00,84.1063829787234,5.530106382978724,0.0026063829787234,Wednesday,0,0,2.777777777777776,4.629629629629624,3,26.425668052289947,32.73665827431444
12,12,2022-03-30 21:00:00,45.76008333333333,44.6095,54.8738,66.52496666666667,2022-03-30 13:00:00,2.0,30-03-2022,Spring cantus,"Tiensestraat 51, Leuven",Cantus,4.0,Politica,316.0,0.4541039407690632,2022-03-30 21:00:00,85.3891891891892,5.649297297297297,0.0013513513513513,Wednesday,0,0,4.0,8.0,3,26.425668052289947,32.73665827431444
14,14,2022-03-30 21:20:00,45.87266666666667,44.466,54.37059166666666,66.301925,2022-03-30 13:20:00,2.333333333333334,30-03-2022,Spring cantus,"Tiensestraat 51, Leuven",Cantus,4.0,Politica,316.0,0.4541039407690632,2022-03-30 21:20:00,86.04838709677419,5.691989247311828,0.0049462365591397,Wednesday,0,0,5.444444444444447,12.703703703703713,3,26.425668052289947,32.73665827431444
16,16,2022-03-30 21:40:00,46.93066666666667,45.01091666666667,54.866725,67.0736,2022-03-30 13:40:00,2.666666666666666,30-03-2022,Spring cantus,"Tiensestraat 51, Leuven",Cantus,4.0,Politica,316.0,0.4541039407690632,2022-03-30 21:40:00,85.63440860215054,5.57252688172043,0.0084408602150537,Wednesday,0,0,7.111111111111108,18.96296296296295,3,26.425668052289947,32.73665827431444
18,18,2022-03-30 22:00:00,46.42766666666667,44.70508333333333,54.11923333333333,66.20316666666668,2022-03-30 14:00:00,3.0,30-03-2022,Spring cantus,"Tiensestraat 51, Leuven",Cantus,4.0,Politica,316.0,0.4541039407690632,2022-03-30 22:00:00,84.74866310160428,5.428235294117648,0.0048128342245989,Wednesday,0,0,9.0,27.0,3,26.425668052289947,32.73665827431444
