Name,Address,Date,Location,Organizer,Event type
Leuven Kritiek IV,"Naamsestraat 96, 3000 Leuven","do 1 sep 2022 20:00
                                                                                            - wo 12 okt 2022",Leuven,Stuk,Other
Lustwarande : BRIEF ENCOUNTERS '22 #2,"Naamsestraat 96, 3000 Leuven",zo 4 sep 2022 14:00,Park De Oude Warande,Stuk,Other
OPEN CALL Showcase Emerging Sound 2023,"Naamsestraat 96, 3000 Leuven","wo 7 sep 2022 20:00
                                                                                            - za 15 okt 2022",STUK,Stuk,Other
"Studio STUK • Dans, Beeld & Geluid in de iconische Manhattan","Naamsestraat 96, 3000 Leuven","ma 26 sep 2022 20:00
                                                                                            - za 12 nov 2022
                                                 23:00",Manhattan,Stuk,Other
Charles Atlas - Life’s a beach • Studio STUK,"Naamsestraat 96, 3000 Leuven","ma 26 sep 2022 20:00
                                                                                            - zo 2 okt 2022
                                                 23:00",Manhattan,Stuk,Other
APHASIA • Studio STUK,"Naamsestraat 96, 3000 Leuven",ma 26 sep 2022 20:30,Manhattan,Stuk,Other
Tien Om Te Zien • Studio STUK opening night,"Naamsestraat 96, 3000 Leuven",do 29 sep 2022 19:30,Manhattan,Stuk,Other
followfollow,"Naamsestraat 96, 3000 Leuven",vr 30 sep 2022 20:00,30CC/Schouwburg,Stuk,Other
M I M I curates • Studio STUK & Het Depot,"Naamsestraat 96, 3000 Leuven",za 1 okt 2022 19:30,Manhattan,Stuk,Other
Jazz Op Zondag: schntzl • Studio STUK,"Naamsestraat 96, 3000 Leuven",zo 2 okt 2022 19:30,Manhattan,Stuk,Other
Luke Fowler - Patrick • Studio STUK,"Naamsestraat 96, 3000 Leuven","di 4 okt 2022 20:00
                                                                                            - zo 9 okt 2022
                                                 23:00",Manhattan,Stuk,Other
El cantar del playo or… a song is a rose is a thorn • Studio STUK,"Naamsestraat 96, 3000 Leuven",di 4 okt 2022 20:30,Manhattan,Stuk,Other
Joshua Serafin - Miss / Promis3 / Burenhinder • Studio STUK,"Naamsestraat 96, 3000 Leuven",do 6 okt 2022 19:30,Manhattan,Stuk,Other
Alabaster DePlume / Abel Ghekiere • Studio STUK & 30CC,"Naamsestraat 96, 3000 Leuven",vr 7 okt 2022 19:30,Manhattan,Stuk,Other
KERMIS IN DE HEL | Adventurous hiphop festival • Studio STUK & Not So Difficult,"Naamsestraat 96, 3000 Leuven","za 8 okt 2022 19:30
                                                                                            - zo 9 okt 2022
                                                 2:00",Manhattan,Stuk,Other
Jazz Op Zondag: Gustaf Ljunggren & Emil de Waal • Studio STUK,"Naamsestraat 96, 3000 Leuven",zo 9 okt 2022 19:30,Manhattan,Stuk,Other
Alex Reynolds & Alma Söderberg - La mano que canta • Studio STUK,"Naamsestraat 96, 3000 Leuven","wo 12 okt 2022 20:00
                                                                                            - zo 16 okt 2022
                                                 23:00",Manhattan,Stuk,Other
Medusa is Laughing • Studio STUK,"Naamsestraat 96, 3000 Leuven",wo 12 okt 2022 20:30,Manhattan,Stuk,Other
Loverman curates • Studio STUK & Het Depot,"Naamsestraat 96, 3000 Leuven",do 13 okt 2022 19:30,Manhattan,Stuk,Other
Trill - Uncut ‘Let me pixy your brain’ • Studio STUK,"Naamsestraat 96, 3000 Leuven",vr 14 okt 2022 19:30,Manhattan,Stuk,Other
DansBaAR vol. VII • Studio STUK,"Naamsestraat 96, 3000 Leuven",za 15 okt 2022 15:00,Manhattan,Stuk,Other
Jazz Op Zondag: LUCA Jazz • Studio STUK,"Naamsestraat 96, 3000 Leuven",zo 16 okt 2022 19:30,Manhattan,Stuk,Other
Chaïm Een ode aan adem,"Naamsestraat 96, 3000 Leuven",ma 17 okt 2022 20:00,30CC/Minnepoort,Stuk,Other
